,network,batchnorm,batch_idx,run_id,same,precision,dataset,count,batch_size
0,vgg11,False,0.0,0.0,0.0,16,,,100
1,vgg11,False,0.0,1.0,0.0,16,,,100
2,vgg11,False,0.0,2.0,0.0,16,,,100
3,vgg11,False,0.0,3.0,0.0,16,,,100
4,vgg11,False,0.0,4.0,0.0,16,,,100
5,vgg11,False,0.0,5.0,0.0,16,,,100
6,vgg11,False,0.0,6.0,0.0,16,,,100
7,vgg11,False,0.0,7.0,0.0,16,,,100
8,vgg11,False,0.0,8.0,0.0,16,,,100
9,vgg11,False,0.0,9.0,0.0,16,,,100
10,vgg11,False,0.0,10.0,0.0,16,,,100
11,vgg11,False,0.0,11.0,0.0,16,,,100
12,vgg11,False,0.0,12.0,0.0,16,,,100
13,vgg11,False,0.0,13.0,0.0,16,,,100
14,vgg11,False,0.0,14.0,0.0,16,,,100
15,vgg11,False,0.0,15.0,0.0,16,,,100
16,vgg11,False,0.0,16.0,0.0,16,,,100
17,vgg11,False,0.0,17.0,0.0,16,,,100
18,vgg11,False,0.0,18.0,0.0,16,,,100
19,vgg11,False,0.0,19.0,0.0,16,,,100
20,vgg11,False,0.0,20.0,0.0,16,,,100
21,vgg11,False,0.0,21.0,0.0,16,,,100
22,vgg11,False,0.0,22.0,0.0,16,,,100
23,vgg11,False,0.0,23.0,0.0,16,,,100
24,vgg11,False,0.0,24.0,0.0,16,,,100
25,vgg11,False,0.0,25.0,0.0,16,,,100
26,vgg11,False,0.0,26.0,0.0,16,,,100
27,vgg11,False,0.0,27.0,0.0,16,,,100
28,vgg11,False,0.0,28.0,0.0,16,,,100
29,vgg11,False,0.0,29.0,0.0,16,,,100
30,vgg11,False,0.0,30.0,0.0,16,,,100
31,vgg11,False,0.0,31.0,0.0,16,,,100
32,vgg11,False,0.0,32.0,0.0,16,,,100
33,vgg11,False,0.0,33.0,0.0,16,,,100
34,vgg11,False,0.0,34.0,0.0,16,,,100
35,vgg11,False,0.0,35.0,0.0,16,,,100
36,vgg11,False,0.0,36.0,0.0,16,,,100
37,vgg11,False,0.0,37.0,0.0,16,,,100
38,vgg11,False,0.0,38.0,0.0,16,,,100
39,vgg11,False,0.0,39.0,0.0,16,,,100
40,vgg11,False,0.0,40.0,0.0,16,,,100
41,vgg11,False,0.0,41.0,0.0,16,,,100
42,vgg11,False,0.0,42.0,0.0,16,,,100
43,vgg11,False,0.0,43.0,0.0,16,,,100
44,vgg11,False,0.0,44.0,0.0,16,,,100
45,vgg11,False,0.0,45.0,0.0,16,,,100
46,vgg11,False,0.0,46.0,0.0,16,,,100
47,vgg11,False,0.0,47.0,0.0,16,,,100
48,vgg11,False,0.0,48.0,0.0,16,,,100
49,vgg11,False,0.0,49.0,0.0,16,,,100
50,vgg11,False,0.0,50.0,0.0,16,,,100
51,vgg11,False,0.0,51.0,0.0,16,,,100
52,vgg11,False,0.0,52.0,0.0,16,,,100
53,vgg11,False,0.0,53.0,0.0,16,,,100
54,vgg11,False,0.0,54.0,0.0,16,,,100
55,vgg11,False,0.0,55.0,0.0,16,,,100
56,vgg11,False,0.0,56.0,0.0,16,,,100
57,vgg11,False,0.0,57.0,0.0,16,,,100
58,vgg11,False,0.0,58.0,0.0,16,,,100
59,vgg11,False,0.0,59.0,0.0,16,,,100
60,vgg11,False,0.0,60.0,0.0,16,,,100
61,vgg11,False,0.0,61.0,0.0,16,,,100
62,vgg11,False,0.0,62.0,0.0,16,,,100
63,vgg11,False,0.0,63.0,0.0,16,,,100
64,vgg11,False,0.0,64.0,0.0,16,,,100
65,vgg11,False,0.0,65.0,0.0,16,,,100
66,vgg11,False,0.0,66.0,0.0,16,,,100
67,vgg11,False,0.0,67.0,0.0,16,,,100
68,vgg11,False,0.0,68.0,0.0,16,,,100
69,vgg11,False,0.0,69.0,0.0,16,,,100
70,vgg11,False,0.0,70.0,0.0,16,,,100
71,vgg11,False,0.0,71.0,0.0,16,,,100
72,vgg11,False,0.0,72.0,0.0,16,,,100
73,vgg11,False,0.0,73.0,0.0,16,,,100
74,vgg11,False,0.0,74.0,0.0,16,,,100
75,vgg11,False,0.0,75.0,0.0,16,,,100
76,vgg11,False,0.0,76.0,0.0,16,,,100
77,vgg11,False,0.0,77.0,0.0,16,,,100
78,vgg11,False,0.0,78.0,0.0,16,,,100
79,vgg11,False,0.0,79.0,0.0,16,,,100
80,vgg11,False,0.0,80.0,0.0,16,,,100
81,vgg11,False,0.0,81.0,0.0,16,,,100
82,vgg11,False,0.0,82.0,0.0,16,,,100
83,vgg11,False,0.0,83.0,0.0,16,,,100
84,vgg11,False,0.0,84.0,0.0,16,,,100
85,vgg11,False,0.0,85.0,0.0,16,,,100
86,vgg11,False,0.0,86.0,0.0,16,,,100
87,vgg11,False,0.0,87.0,0.0,16,,,100
88,vgg11,False,0.0,88.0,0.0,16,,,100
89,vgg11,False,0.0,89.0,0.0,16,,,100
90,vgg11,False,0.0,90.0,0.0,16,,,100
91,vgg11,False,0.0,91.0,0.0,16,,,100
92,vgg11,False,0.0,92.0,0.0,16,,,100
93,vgg11,False,0.0,93.0,0.0,16,,,100
94,vgg11,False,0.0,94.0,0.0,16,,,100
95,vgg11,False,0.0,95.0,0.0,16,,,100
96,vgg11,False,0.0,96.0,0.0,16,,,100
97,vgg11,False,0.0,97.0,0.0,16,,,100
98,vgg11,False,0.0,98.0,0.0,16,,,100
99,vgg11,False,0.0,99.0,0.0,16,,,100
100,vgg11,False,0.0,100.0,0.0,16,,,100
101,vgg11,False,0.0,101.0,0.0,16,,,100
102,vgg11,False,0.0,102.0,0.0,16,,,100
103,vgg11,False,0.0,103.0,0.0,16,,,100
104,vgg11,False,0.0,104.0,0.0,16,,,100
105,vgg11,False,0.0,105.0,0.0,16,,,100
106,vgg11,False,0.0,106.0,0.0,16,,,100
107,vgg11,False,0.0,107.0,0.0,16,,,100
108,vgg11,False,0.0,108.0,0.0,16,,,100
109,vgg11,False,0.0,109.0,0.0,16,,,100
110,vgg11,False,0.0,110.0,0.0,16,,,100
111,vgg11,False,0.0,111.0,0.0,16,,,100
112,vgg11,False,0.0,112.0,0.0,16,,,100
113,vgg11,False,0.0,113.0,0.0,16,,,100
114,vgg11,False,0.0,114.0,0.0,16,,,100
115,vgg11,False,0.0,115.0,0.0,16,,,100
116,vgg11,False,0.0,116.0,0.0,16,,,100
117,vgg11,False,0.0,117.0,0.0,16,,,100
118,vgg11,False,0.0,118.0,0.0,16,,,100
119,vgg11,False,0.0,119.0,0.0,16,,,100
120,vgg11,False,0.0,120.0,0.0,16,,,100
121,vgg11,False,0.0,121.0,0.0,16,,,100
122,vgg11,False,0.0,122.0,0.0,16,,,100
123,vgg11,False,0.0,123.0,0.0,16,,,100
124,vgg11,False,0.0,124.0,0.0,16,,,100
125,vgg11,False,0.0,125.0,0.0,16,,,100
126,vgg11,False,0.0,126.0,0.0,16,,,100
127,vgg11,False,0.0,127.0,0.0,16,,,100
128,vgg11,False,0.0,128.0,0.0,16,,,100
129,vgg11,False,0.0,129.0,0.0,16,,,100
130,vgg11,False,0.0,130.0,0.0,16,,,100
131,vgg11,False,0.0,131.0,0.0,16,,,100
132,vgg11,False,0.0,132.0,0.0,16,,,100
133,vgg11,False,0.0,133.0,0.0,16,,,100
134,vgg11,False,0.0,134.0,0.0,16,,,100
135,vgg11,False,0.0,135.0,0.0,16,,,100
136,vgg11,False,0.0,136.0,0.0,16,,,100
137,vgg11,False,0.0,137.0,0.0,16,,,100
138,vgg11,False,0.0,138.0,0.0,16,,,100
139,vgg11,False,0.0,139.0,0.0,16,,,100
140,vgg11,False,0.0,140.0,0.0,16,,,100
141,vgg11,False,0.0,141.0,0.0,16,,,100
142,vgg11,False,0.0,142.0,0.0,16,,,100
143,vgg11,False,0.0,143.0,0.0,16,,,100
144,vgg11,False,0.0,144.0,0.0,16,,,100
145,vgg11,False,0.0,145.0,0.0,16,,,100
146,vgg11,False,0.0,146.0,0.0,16,,,100
147,vgg11,False,0.0,147.0,0.0,16,,,100
148,vgg11,False,0.0,148.0,0.0,16,,,100
149,vgg11,False,0.0,149.0,0.0,16,,,100
150,vgg11,False,0.0,150.0,0.0,16,,,100
151,vgg11,False,0.0,151.0,0.0,16,,,100
152,vgg11,False,0.0,152.0,0.0,16,,,100
153,vgg11,False,0.0,153.0,0.0,16,,,100
154,vgg11,False,0.0,154.0,0.0,16,,,100
