,relu,lr
0,-50.0,0.0067
1,-10.0,0.00781
2,-8.0,0.00641
3,-6.0,0.01087
4,-4.0,0.01088
5,-2.0,0.00787
6,-1.0,0.0109
7,-0.9,0.01084
8,-0.8,0.02277
9,-0.7,0.01144
10,-0.6,0.00992
11,-0.5,0.01529
12,-0.4,0.00742
13,-0.3,0.01198
14,-0.2,0.01606
15,-0.1,0.00696
16,0.0,0.01583
17,0.1,0.01011
18,0.2,0.00491
19,0.3,0.00738
20,0.4,0.01994
21,0.5,0.00612
22,0.6,0.01012
23,0.7,0.01134
24,0.8,0.0103
25,0.9,0.02237
26,1.0,0.01011
27,2.0,0.01939
28,4.0,0.01207
29,6.0,0.01307
30,8.0,0.01175
31,10.0,0.02464
32,50.0,0.01576
